environment_biome	environment_biome_hl	environment_biome_hl2
Nectar, Bertam palm	unclassified	unclassified
preals grassland	terrestrial	land
animal gut	unclassified	unclassified
terrestrial biome(ENVO:00000446)	terrestrial	land
fecal pf pigs	terrestrial	land
temperate valley	unclassified	unclassified
Mesocosm	unclassified	unclassified
subterrestrial, arsenic rich sediment	terrestrial	land
vinegar fermentation	terrestrial	land
sub-tropical rainforest	terrestrial	land
waste activated sludge	unclassified	unclassified
pond sediment	terrestrial	freshwater
salt mountain	unclassified	unclassified
urban park	terrestrial	land
BIRCH	unclassified	unclassified
Native grasses_Block 1	terrestrial	land
Native grasses_Block 2	terrestrial	land
Bromus biebersteini + Medicago sativa _Block 1	unclassified	unclassified
Bromus biebersteini + Medicago sativa _Block 2	unclassified	unclassified
Native grasses + Medicago sativa_Block 1	terrestrial	land
Native grasses + Medicago sativa_Block 2	terrestrial	land
Native grasses + Dalea purpurea_Block 1	terrestrial	land
Native grasses + Dalea purpurea_Block 2	terrestrial	land
Native grasses_Block 3	terrestrial	land
Native grasses_Block 4	terrestrial	land
Bromus biebersteini + Medicago sativa_Block 3	unclassified	unclassified
Bromus biebersteini + Medicago sativa_Block 4	unclassified	unclassified
Native grasses + Medicago sativa_Block 3	terrestrial	land
Native grasses + Medicago sativa_Block 4	terrestrial	land
Native grasses + Dalea purpurea_Block 3	terrestrial	land
Native grasses + Dalea purpurea_Block 4	terrestrial	land
wastewater_treatment_plant	terrestrial_probable	other_terrestrial_water
Woods	terrestrial	unclassified
nertic littoral zone	unclassified	unclassified
Midgut	unclassified	unclassified
human associated habitat	terrestrial_probable	land
upland temperate forest	terrestrial	land
deep-sea hydrothermal vent	marine	unclassified
DZS001	unclassified	unclassified
coastal sediment	marine_and_terrestrial	unclassified
bog	unclassified	other_terrestrial_water
drinking water reservoir	terrestrial	freshwater
Steer Rumen	terrestrial	unclassified
Nursery of ornamental woody plant	terrestrial	land
commercial pea field	unclassified	unclassified
Common Effluent Treatment Plant	unclassified	unclassified
marine sediment (ENVO:00002113)	marine	unclassified
Prokaryotes of sand filters	unclassified	unclassified
Kobresia	unclassified	unclassified
MEDITERRANEAN	unclassified	unclassified
Mine Water	terrestrial_probable	other_terrestrial_water
Marine surface	marine	unclassified
Chinese liquor	unclassified	unclassified
marine biome (ENVO:00000428)	marine	unclassified
reactor solution	terrestrial_probable	land
cathode biofilm	unclassified	unclassified
Liberty Park	unclassified	unclassified
greenhouse pot experiment	terrestrial	land
Lake Erie	terrestrial	freshwater
planted common garden	unclassified	unclassified
temperate ecosystem	unclassified	unclassified
marine coral reef biome(ENVO:01000049)	marine	unclassified
Maharashtra	unclassified	unclassified
marine salt marsh biome (ENVO 01000022)	marine	other_terrestrial_water
food fermentation	terrestrial	land
acidic soil	terrestrial_probable	land
25	unclassified	unclassified
Terestrial	unclassified	unclassified
West Spitsbergen Current	unclassified	unclassified
Cow faeces and anaerobic sludge	terrestrial	unclassified
mountain range	unclassified	unclassified
fish tanks	unclassified	unclassified
wastewater treatment	terrestrial_probable	other_terrestrial_water
mediterrian	unclassified	unclassified
Honey bee hive	terrestrial	land
Broad Leaf Forest	terrestrial	unclassified
breeding facility	unclassified	unclassified
freshwater temperate	terrestrial	freshwater
tomato roots	terrestrial	land
A1	unclassified	unclassified
A2	unclassified	unclassified
A3	unclassified	unclassified
A4	unclassified	unclassified
A5	unclassified	unclassified
A6	unclassified	unclassified
B1	unclassified	unclassified
B2	unclassified	unclassified
B3	unclassified	unclassified
B4	unclassified	unclassified
B5	unclassified	unclassified
B6	unclassified	unclassified
C1	unclassified	unclassified
C3	unclassified	unclassified
C5	unclassified	unclassified
C6	unclassified	unclassified
C7	unclassified	unclassified
C9	unclassified	unclassified
Drosophila-associated	unclassified	unclassified
paddy field soil	terrestrial	land
coastal La Jolla, CA seawater	marine_and_terrestrial	unclassified
ruminant gut	unclassified	unclassified
Fruit pulp	unclassified	unclassified
Fruyit pulp	unclassified	unclassified
Human-gut	terrestrial_probable	unclassified
methane seep sediment push core	unclassified	unclassified
hypersaline benthic marine sediments Urania, Atlalante and Discovery Basins	marine	unclassified
juniper savanna	terrestrial	land
pinyon-juniper woodland	terrestrial	land
batch culture	unclassified	unclassified
Lab-derived	unclassified	unclassified
sample-1	unclassified	unclassified
sample-2	unclassified	unclassified
sample-3	unclassified	unclassified
sample-4	unclassified	unclassified
not described	unclassified	unclassified
fermented_meat	terrestrial	land
Navy installation site	unclassified	unclassified
Laundry machine biome	unclassified	unclassified
freshwater lakes	terrestrial	freshwater
marine methane seep	marine	unclassified
Industrially polluted freshwater lake	terrestrial	freshwater
mid-term abandoned agricultural land (grassland)	terrestrial	land
ocean sediment	marine	unclassified
in vitro biofilm grown from human saliva	terrestrial_probable	land
Natural park	unclassified	unclassified
research laboratory	terrestrial_probable	land
sample-TS1	unclassified	unclassified
sample-TS2	unclassified	unclassified
sample-TS3	unclassified	unclassified
sample-TS4	unclassified	unclassified
sample-TS5	unclassified	unclassified
sample-TS6	unclassified	unclassified
sample-pH1	unclassified	unclassified
sample-pH2	unclassified	unclassified
sample-pH3	unclassified	unclassified
sample-pH4	unclassified	unclassified
sample-pH5	unclassified	unclassified
Enrichment culture incubated at 15 Â¡Ã¦	unclassified	unclassified
Enrichment culture without hexadecane incubated at 15 Â¡Ã¦	unclassified	unclassified
Enrichment culture incubated at 20 Â¡Ã¦	unclassified	unclassified
Enrichment culture incubated at 25 Â¡Ã¦	unclassified	unclassified
Enrichment culture incubated at 35 Â¡Ã¦	unclassified	unclassified
original sediment sample1	unclassified	unclassified
Enrichment culture with JM3 incubated at 35 Â¡Ã¦ (replicate1)	unclassified	unclassified
Enrichment culture with JM3 incubated at 35 Â¡Ã¦ (replicate2)	unclassified	unclassified
original sediment sample2	unclassified	unclassified
Enrichment culture with JM4 (replicate1)	unclassified	unclassified
Enrichment culture with JM4 (replicate2)	unclassified	unclassified
Enrichment culture with JM4 (replicate3)	unclassified	unclassified
original sediment sample3	unclassified	unclassified
Enrichment culture with JM5 (replicate1)	unclassified	unclassified
Enrichment culture with JM5 (replicate2)	unclassified	unclassified
Enrichment culture with JM5 (replicate3)	unclassified	unclassified
Enrichment culture with gudao oil incubated at 15 Â¡Ã¦	unclassified	unclassified
Enrichment culture without gudao oil incubated at 15 Â¡Ã¦	unclassified	unclassified
Enrichment culture with daqing oil incubated at 15 Â¡Ã¦	unclassified	unclassified
Enrichment culture without daqing oil incubated at 15 Â¡Ã¦	unclassified	unclassified
Enrichment culture with daqing oil incubated at 35 Â¡Ã¦	unclassified	unclassified
Enrichment culture without daqing oil incubated at 35 Â¡Ã¦	unclassified	unclassified
Sundarbans wetland	terrestrial	land
Mediterranean1	unclassified	unclassified
Mediterranean2	unclassified	unclassified
Mediterranean3	unclassified	unclassified
Mediterranean4	unclassified	unclassified
Mediterranean5	unclassified	unclassified
Mediterranean6	unclassified	unclassified
Mediterranean7	unclassified	unclassified
Mediterranean8	unclassified	unclassified
Mediterranean9	unclassified	unclassified
Mediterranean0	unclassified	unclassified
boreal peatland	terrestrial	land
pu-erh tea fermentation	terrestrial	land
Photobioreactor	terrestrial_probable	land
rhizosphere soil	terrestrial_probable	land
whole moskito	unclassified	unclassified
montane subtropical rainforest	terrestrial	land
Kobresia humilis	unclassified	unclassified
Rcirculating aquaculture system	unclassified	unclassified
Soil sediment	terrestrial_probable	unclassified
young beech forest	terrestrial	land
old beech forest	terrestrial	land
unmanaged beech forest	terrestrial	land
Lake Malawi - Nkhata Bay	marine_and_terrestrial	unclassified
Lake Malawi - Luwino Reef	marine	unclassified
Lake Malawi - Maison Reef	marine	unclassified
Lake Malawi	terrestrial	freshwater
ashpit	unclassified	unclassified
burried paddy soil	terrestrial	land
mulberry surface soil	terrestrial_probable	land
Rivers and streams	terrestrial	freshwater
Shallow marine sediment	marine	unclassified
hydrothermal fluid	unclassified	unclassified
bumblebee breeding facility	terrestrial	land
swab_and_food_samples	unclassified	unclassified
Plants	unclassified	unclassified
fish source(food)	unclassified	unclassified
contunious corn	unclassified	unclassified
corn+cover crop	terrestrial	land
soybean+cover crop	terrestrial	land
Mud volcano	unclassified	unclassified
municipal biowaste	unclassified	unclassified
in vitro batch fermentation model of the pig large intestine	terrestrial	land
Salt lake	terrestrial	other_terrestrial_water
coastal_water	marine_and_terrestrial	other_terrestrial_water
Rivers	terrestrial	freshwater
tap water?network?	unclassified	other_terrestrial_water
Animal-associated	unclassified	unclassified
Human Skin	terrestrial_probable	unclassified
savanna biome	terrestrial	land
Ha DaTan wetland	terrestrial	land
Bird island Wild Animal Rescue Center of Qinghai Lake	terrestrial	land
Xining City Zoo	terrestrial	unclassified
groundwater microbiome	terrestrial	other_terrestrial_water
seawater microbiome	marine	unclassified
Coniferous forest	terrestrial	land
Dough ingredients and equiment	unclassified	unclassified
pot soil	terrestrial_probable	land
subtropical deciduous forest	terrestrial	land
Sigmoid tissue and feces	unclassified	unclassified
coral backreef	marine	unclassified
coral reef deep slope	marine	unclassified
coral reef upper slope	marine	unclassified
terrestrial land	terrestrial	land
Bumblebee from urban environment	terrestrial	land
Bumblebee from rural environment	terrestrial	land
Bumblebee from Urban/Industrial environment	terrestrial	land
terrestrial freshwater aquatic	terrestrial	freshwater
Xenic Dinoflagellate Culture	unclassified	unclassified
pine trees	terrestrial	land
lakes	terrestrial	freshwater
Rural area	terrestrial	unclassified
rural area	terrestrial	land
polycyclic aromatic hydrocarbon (PAH) and heavy metal contaminated soil	terrestrial_probable	land
calf gut	unclassified	unclassified
cow vagina	terrestrial	land
rural/suburban	terrestrial	land
suburban/urban	unclassified	unclassified
headwater stream	unclassified	other_terrestrial_water
Proximal Colon	unclassified	unclassified
introduction and cultivation base of Hainan Noni Biological Engineering Development Co., Ltd.	unclassified	unclassified
Not collected	unclassified	unclassified
Rann of Kuchchh	unclassified	unclassified
plant-associated habitat	unclassified	unclassified
bumblebee reared indoors	terrestrial	land
bumblebee reared indoors, placed in urban environment	terrestrial	land
41001-301	unclassified	unclassified
10003-ITS	unclassified	unclassified
10006-ITS	unclassified	unclassified
20035-ITS	unclassified	unclassified
20036-ITS	unclassified	unclassified
20040-ITS	unclassified	unclassified
30004-ITS	unclassified	unclassified
40002-ITS	unclassified	unclassified
40003-ITS	unclassified	unclassified
40004-ITS	unclassified	unclassified
20037-ITS	unclassified	unclassified
20038-ITS	unclassified	unclassified
30001-ITS	unclassified	unclassified
30005-ITS	unclassified	unclassified
30006-ITS	unclassified	unclassified
30007-ITS	unclassified	unclassified
30008-ITS	unclassified	unclassified
30010-ITS	unclassified	unclassified
10003-16S	unclassified	unclassified
10006-16S	unclassified	unclassified
20035-16S	unclassified	unclassified
20036-16S	unclassified	unclassified
20040-16S	unclassified	unclassified
30004-16S	unclassified	unclassified
40003-16S	unclassified	unclassified
40004-16S	unclassified	unclassified
40007-16S	unclassified	unclassified
20037-16S	unclassified	unclassified
20038-16S	unclassified	unclassified
30001-16S	unclassified	unclassified
30005-16S	unclassified	unclassified
30006-16S	unclassified	unclassified
30007-16S	unclassified	unclassified
30008-16S	unclassified	unclassified
30010-16S	unclassified	unclassified
40005-16S	unclassified	unclassified
sluge	unclassified	unclassified
aerosol	unclassified	unclassified
marine reef	marine	unclassified
River surface water	terrestrial	freshwater
river surface water	terrestrial	freshwater
synthetic	unclassified	unclassified
tropical deciduous forest	terrestrial	land
marine algal bloom	marine	unclassified
captive environment	unclassified	unclassified
Wet flatwoods	terrestrial	land
drill fluid	unclassified	unclassified
beef raw hamburger	terrestrial	land
ZYK1	unclassified	unclassified
ZYK2	unclassified	unclassified
ZYK3	unclassified	unclassified
ZYK4	unclassified	unclassified
1	unclassified	unclassified
2	unclassified	unclassified
3	unclassified	unclassified
